Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3690,INDRA(A.C. Seater),23:16,06h 44m,06:00,3.9,INR 590,34 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3951,Super Luxury (Non AC Seater 2+2 Push Back),23:25,06h 45m,06:10,4.4,INR 488,25 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 23702,Super Luxury (Non AC Seater 2+2 Push Back),23:30,05h 00m,04:30,4.0,INR 436,9 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 4995,INDRA(A.C. Seater),23:30,06h 10m,05:40,4.4,INR 567,30 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 4354,Super Luxury (Non AC Seater 2+2 Push Back),23:30,06h 14m,05:44,3.9,INR 469,13 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3545,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),23:30,06h 05m,05:35,4.3,INR 670,46 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 4178,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),23:40,05h 55m,05:35,4.3,INR 670,42 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 4814,Super Luxury (Non AC Seater 2+2 Push Back),23:40,05h 30m,05:10,4.9,INR 469,23 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),22:30,06h 50m,05:20,4.6,450,20 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),17:30,06h 35m,00:05,4.6,500,42 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),16:20,06h 45m,23:05,4.6,450,37 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,AdSai RK Travels,Non A/C Seater / Sleeper (2+1),22:10,07h 20m,05:30,3.9,INR 449,27 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:50,06h 20m,06:10,4.6,INR 381,28 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),21:30,06h 35m,04:05,4.5,450,31 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,AC Sleeper (2+1),23:40,06h 50m,06:30,4.6,INR 608,21 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,AdIntrCity SmartBus,A/C Seater / Sleeper (2+1),23:00,06h 45m,05:45,4.7,INR 364,37 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,GMRK Tours and Travels,Volvo A/C Semi Sleeper (2+2),23:45,06h 10m,05:55,4.6,INR 409,31 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),12:30,05h 10m,17:40,4.6,450,40 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Zingbus Plus,A/C Seater / Sleeper (2+1),22:50,06h 50m,05:40,4.7,344,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:45,06h 15m,06:00,4.6,INR 353,40 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:25,07h 00m,06:25,4.6,INR 398,32 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri Durga Malleswari Travels,A/C Sleeper (2+1),22:30,07h 15m,05:45,4.5,653,14 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),21:50,06h 15m,04:05,4.4,332,27 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:30,06h 50m,06:20,4.4,INR 378,36 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),23:25,06h 30m,05:55,4.3,500,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater/Sleeper (2+1),23:00,07h 30m,06:30,4.3,379,19 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Svkdt travels,A/C Sleeper (2+1),23:20,06h 54m,06:14,4.4,INR 667,19 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,AC Sleeper (2+1),23:20,06h 35m,05:55,4.4,INR 706,21 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),22:30,07h 30m,06:00,4.2,332,30 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),12:15,06h 45m,19:00,4.2,332,24 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),16:00,06h 42m,22:42,4.2,408,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Yolo Bus,A/C Seater / Sleeper (2+1),23:24,06h 19m,05:43,4.2,INR 450,28 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,BSR Tours And Travels,VE A/C Sleeper (2+1),23:50,06h 25m,06:15,4.6,INR 880,13 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),14:35,07h 25m,22:00,4.1,332,27 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri KVR Travels,A/C Sleeper (2+1),23:45,05h 50m,05:35,4.2,INR 610,20 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),22:35,06h 35m,05:10,4.5,332,26 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri Sai Srinivasa Travels,Non A/C Seater / Sleeper (2+1),22:00,06h 57m,04:57,4.4,INR 500,32 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Svkdt travels,A/C Seater / Sleeper (2+1),22:45,06h 55m,05:40,4.2,INR 550,23 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater/Sleeper (2+1),21:30,07h 50m,05:20,4.2,428,12 Seats available
